"ODOMETER_BUCKET","NUM_SALES","AVG_SELLING_PRICE"
"0-99,999",415658,16433.2519836591715065223772152264186351
"100,000-199,999",118762,5336.281916774725922433101497111870800424
"200,000-299,999",10441,2575.090125466909299875490853366535772436
"300,000-399,999",554,2475.722021660649819494584837545126353791
"400,000-499,999",40,3290
"500,000-599,999",4,4675
"600,000-699,999",3,1533.333333333333333333333333333333333333
"900,000-999,999",69,1732.608695652173913043478260869565217391
"",85,4377.188235294117647058823529411764705882
